"Path","Bytes","SHA256"
"docs/decisions/ADR-0001-offline-authority-ootle-anchor.md","800","622AFDA612066B53E606A9A7FAB6417857C48BB9A56906E70D392C21E690C4AE"
"docs/decisions/ADR-0002-governance-keys.md","457","9AA9C9203E72AB9144E277A598D9598D5BE4BB6AD655416DB5CCFFF402F6A98D"
"docs/decisions/ADR-0003-governance-source-and-mvp-scope.md","2928","E6E264097ADD9B090E766D6E65CB2AE073140CA9A4F08F07B4B5D3D9066952F9"
"docs/decisions/ADR-0004-ballot-and-tally-policy.md","4440","A0DEA853A104FBB256B8CF634E0FDE6F944F61A3BD28A0DE4AE18B2EE45DCE6C"
"docs/decisions/ADR-0005-anonymous-membership-construction.md","9383","8CD8EC73621BFA73CE0F724445A8F4F56A9EED8A6CC9DAA55F049D30022E62E7"
"docs/FUZZING.md","2891","9432C1D34E6EC068A7081BA46EA48FF5225F5D1E2CD0599968FF9B9E17ADB458"
"docs/INDEPENDENT_VECTOR_VERIFIER.md","2789","BEE0B156DE190827994699251F1D250F120E1E11E42D6787B5E696DD007E48EE"
"docs/OPEN_QUESTIONS.md","2923","25ED5472AD02499E0441C8A00A7E7EF5632EEF4D2120DD9A24E03C3C0E612F7B"
"docs/PHASE1_PROTOCOL_SPEC_v0.1.md","34778","CD570B852CBFF117F884940C629F259FC0C9AEB3C0A1F46450B46A711EA15752"
"docs/reviews/.gitkeep","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"docs/reviews/PHASE1_CONSISTENCY_REVIEW_2026-07-31.md","5284","C530C4633FD0B01F071744243631E58A7F737F0F62AF3DE6C3DFCAFEDA402DF6"
"docs/sources/GOVERNANCE_SOURCE_SNAPSHOT.md","2503","1420A0F45D282045A3739193BE1443A6F857709676C37A80E76A2E63D920AA84"
"docs/threat-model/.gitkeep","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"examples/.gitkeep","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"fuzz/Cargo.lock","12074","810A6DBEC4110F87048E7C767F74398B92BC708ACC307A0F806E6BEF3B328847"
"fuzz/Cargo.toml","1385","0DA9EDA22E0407148C372E999AAE26D4E8C8F770087B3BB46CABB14B82A063B9"
